Time [s],CMD,CLK,D0,D1,D2,D3
2026-09-09T22:54:24.446769625+00:00,1,1,1,1,1,1
2026-09-09T22:54:24.449218625+00:00,1,1,1,0,1,1
2026-09-09T22:54:24.449219500+00:00,1,1,1,0,0,1
2026-09-09T22:54:24.449220375+00:00,1,1,1,0,0,0
2026-09-09T22:54:24.449221250+00:00,1,0,1,0,0,0
2026-09-09T22:54:24.449223125+00:00,0,0,1,0,0,0
2026-09-09T22:54:24.449373000+00:00,1,0,1,0,0,0
2026-09-09T22:54:24.449380125+00:00,1,0,1,1,0,0
2026-09-09T22:54:24.449383250+00:00,1,0,1,1,1,0
2026-09-09T22:54:24.449386625+00:00,1,0,1,1,1,1
2026-09-09T22:54:24.449406000+00:00,0,0,1,1,1,1
2026-09-09T22:54:24.449406625+00:00,1,0,1,1,1,1
2026-09-09T22:54:24.449410625+00:00,1,1,1,1,1,1
2026-09-09T22:54:24.449413750+00:00,1,0,1,1,1,1
2026-09-09T22:54:24.449416500+00:00,1,1,1,1,1,1
2026-09-09T22:54:24.449419500+00:00,1,0,1,1,1,1
2026-09-09T22:54:24.449422250+00:00,1,1,1,1,1,1
2026-09-09T22:54:24.449424500+00:00,1,0,1,1,1,1
2026-09-09T22:54:24.449427375+00:00,1,1,1,1,1,1
2026-09-09T22:54:24.449430625+00:00,1,0,1,1,1,1
2026-09-09T22:54:24.449433375+00:00,1,1,1,1,1,1
2026-09-09T22:54:24.449436375+00:00,1,0,1,1,1,1
2026-09-09T22:54:24.449439125+00:00,1,1,1,1,1,1
2026-09-09T22:54:24.449442500+00:00,1,0,1,1,1,1
2026-09-09T22:54:24.449446250+00:00,1,1,1,1,1,1
2026-09-09T22:54:24.449449500+00:00,1,0,1,1,1,1
2026-09-09T22:54:24.449452250+00:00,1,1,1,1,1,1
2026-09-09T22:54:24.449455250+00:00,1,0,1,1,1,1
2026-09-09T22:54:24.449458375+00:00,1,1,1,1,1,1
2026-09-09T22:54:24.449461375+00:00,1,0,1,1,1,1
2026-09-09T22:54:24.449464125+00:00,1,1,1,1,1,1
2026-09-09T22:54:24.449467375+00:00,1,0,1,1,1,1
2026-09-09T22:54:24.449470125+00:00,1,1,1,1,1,1
2026-09-09T22:54:24.449473125+00:00,1,0,1,1,1,1
2026-09-09T22:54:24.449475875+00:00,1,1,1,1,1,1
2026-09-09T22:54:24.449478250+00:00,1,0,1,1,1,1
2026-09-09T22:54:24.449481000+00:00,1,1,1,1,1,1
